user_input,expected_intent,predicted_intent,correct,response,response_is_unknown_fallback,decision_confidence,fallback_used,fallback_method,nlp_method,similarity_score,case_type,preprocessed
Where is my parcel?,tracking_request,Tracking,False,"I can help you track the parcel. Please share the tracking number, for example TRK1010.",False,0.96,False,,Rule-based NLP (keyword / regex / entity detection),,paraphrase,where my parcel
Can you track my package?,tracking_request,Tracking,False,"I can help you track the parcel. Please share the tracking number, for example TRK1010.",False,0.96,False,,Rule-based NLP (keyword / regex / entity detection),,paraphrase,track my package
I want to know my shipment status.,tracking_request,Tracking,False,"I can help you track the parcel. Please share the tracking number, for example TRK1010.",False,0.96,False,,Rule-based NLP (keyword / regex / entity detection),,paraphrase,want know my shipment status
What's happening with my delivery?,tracking_request,Tracking,False,"I can help you track the parcel. Please share the tracking number, for example TRK1010.",False,0.96,False,,Rule-based NLP (keyword / regex / entity detection),,paraphrase,what 's happen my delivery
Track my parcel,tracking_request,Tracking,False,"I can help you track the parcel. Please share the tracking number, for example TRK1010.",False,0.96,False,,Rule-based NLP (keyword / regex / entity detection),,short,track my parcel
Please tell me the current location of my shipment and whether it is still moving.,tracking_request,Tracking,False,"I can help you track the parcel. Please share the tracking number, for example TRK1010.",False,0.96,False,,Rule-based NLP (keyword / regex / entity detection),,long,tell current location my shipment whether still move
Wher is my pakage?,tracking_request,Tracking,False,Thanks for contacting us. I can help track your parcel. Please share your tracking number so I can check the latest shipment status.,False,0.85,False,,TF-IDF + LinearSVC,,typo,wher my pakage
Where is my package at right now?,tracking_request,Tracking,False,"I can help you track the parcel. Please share the tracking number, for example TRK1010.",False,0.96,False,,Rule-based NLP (keyword / regex / entity detection),,paraphrase,where my package right now
Is my package still in transit?,tracking_request,Tracking,False,"I can help you track the parcel. Please share the tracking number, for example TRK1010.",False,0.96,False,,Rule-based NLP (keyword / regex / entity detection),,paraphrase,my package still transit
Can I get a status update on my order?,tracking_request,Tracking,False,"I can help you track the parcel. Please share the tracking number, for example TRK1010.",False,0.96,False,,Rule-based NLP (keyword / regex / entity detection),,paraphrase,get status update my order
When will my parcel arrive?,estimated_delivery,Delivery,False,"What is your order tracking ID? Please share a tracking number like TRK1001 and I can look up the estimated delivery time for you. You can also include it directly, e.g. ""When will TRK1001 arrive?""",False,0.95,False,,Rule-based NLP (keyword / regex / entity detection),,paraphrase,when my parcel arrive
What is the estimated delivery time?,estimated_delivery,Delivery,False,"What is your order tracking ID? Please share a tracking number like TRK1001 and I can look up the estimated delivery time for you. You can also include it directly, e.g. ""When will TRK1001 arrive?""",False,0.95,False,,Rule-based NLP (keyword / regex / entity detection),,paraphrase,what estimate delivery time
When should I expect my package?,estimated_delivery,Delivery,False,"What is your order tracking ID? Please share a tracking number like TRK1001 and I can look up the estimated delivery time for you. You can also include it directly, e.g. ""When will TRK1001 arrive?""",False,0.95,False,,Rule-based NLP (keyword / regex / entity detection),,paraphrase,when expect my package
eta for my order?,estimated_delivery,Delivery,False,"What is your order tracking ID? Please share a tracking number like TRK1001 and I can look up the estimated delivery time for you. You can also include it directly, e.g. ""When will TRK1001 arrive?""",False,0.95,False,,Rule-based NLP (keyword / regex / entity detection),,short,eta my order
What date will the package get to me?,estimated_delivery,Delivery,False,"What is your order tracking ID? Please share a tracking number like TRK1001 and I can look up the estimated delivery time for you. You can also include it directly, e.g. ""When will TRK1001 arrive?""",False,0.95,False,,Rule-based NLP (keyword / regex) over LinearSVC,,paraphrase,what date package get
How many days until delivery?,estimated_delivery,Delivery,False,"What is your order tracking ID? Please share a tracking number like TRK1001 and I can look up the estimated delivery time for you. You can also include it directly, e.g. ""When will TRK1001 arrive?""",False,0.95,False,,Rule-based NLP (keyword / regex / entity detection),,paraphrase,how many day until delivery
Can I change my address?,Address Change,Address Change,True,I can help with an address change if the parcel has not yet been handed over to the courier. Please send your order number and the updated address.,False,0.9,False,,TF-IDF + LinearSVC,,paraphrase,change my address
I need to update the shipping address please,Address Change,Address Change,True,I can help with an address change if the parcel has not yet been handed over to the courier. Please send your order number and the updated address.,False,0.2,True,Rule-based keyword matching,TF-IDF + LinearSVC,,paraphrase,need update ship address
My parcel is missing.,Missing Parcel,Missing Parcel,True,I am sorry to hear that. I can help investigate a missing parcel. Please send the tracking number and delivery details so I can review the case.,False,0.2,True,Rule-based keyword matching,TF-IDF + LinearSVC,,paraphrase,my parcel miss
I never received the package but it says delivered,Missing Parcel,Missing Parcel,True,I am sorry to hear that. I can help investigate a missing parcel. Please send the tracking number and delivery details so I can review the case.,False,0.2,True,Rule-based keyword matching,TF-IDF + LinearSVC,,paraphrase,never receive package say deliver
The box is crushed and the item is broken.,Damaged Parcel,Damaged Parcel,True,"I am sorry your parcel arrived damaged. Please send photos of the package and item, along with your order number, so I can help with the claim.",False,0.2,True,Rule-based keyword matching,TF-IDF + LinearSVC,,paraphrase,box crush item break
"My order arrived damaged, what can I do?",Damaged Parcel,Damaged Parcel,True,"I am sorry your parcel arrived damaged. Please send photos of the package and item, along with your order number, so I can help with the claim.",False,0.2,True,Rule-based keyword matching,TF-IDF + LinearSVC,,paraphrase,my order arrive damage what
How do I return this parcel?,Returns,Returns,True,I can guide you through the return process. Please share your order number and I will explain the available return or refund options.,False,0.2,True,Rule-based keyword matching,TF-IDF + LinearSVC,,paraphrase,how return parcel
Can I get a refund for this order?,Returns,Returns,True,I can guide you through the return process. Please share your order number and I will explain the available return or refund options.,False,0.2,True,Rule-based keyword matching,TF-IDF + LinearSVC,,paraphrase,get refund order
Why is shipping so expensive?,Shipping Cost,Shipping Cost,True,"I can explain the shipping cost. Please share the destination and parcel details, and I will check the fee or any discount that applies.",False,0.2,True,Rule-based keyword matching,TF-IDF + LinearSVC,,paraphrase,why ship so expensive
How much will it cost to ship to London?,Shipping Cost,Shipping Cost,True,"I can explain the shipping cost. Please share the destination and parcel details, and I will check the fee or any discount that applies.",False,0.2,True,Rule-based keyword matching,TF-IDF + LinearSVC,,paraphrase,how much cost ship london
Can I reschedule pickup?,Pickup,Pickup,True,I can help with pickup arrangements. Please provide your order reference and preferred pickup time so I can check availability.,False,0.2,True,Rule-based keyword matching,TF-IDF + LinearSVC,,paraphrase,reschedule pickup
"I missed the pickup today, what now?",Pickup,Pickup,True,I can help with pickup arrangements. Please provide your order reference and preferred pickup time so I can check availability.,False,0.2,True,Rule-based keyword matching,TF-IDF + LinearSVC,,paraphrase,miss pickup today what now
Do you ship internationally?,International,International,True,I can help with international shipping. Please share the destination and tracking number so I can explain the delivery timeline and customs details.,False,0.9,False,,TF-IDF + LinearSVC,,paraphrase,ship internationally
How long does shipping to Australia take?,International,International,True,I can help with international shipping. Please share the destination and tracking number so I can explain the delivery timeline and customs details.,False,0.9,False,,TF-IDF + LinearSVC,,paraphrase,how long ship australia take
Why was my payment rejected?,Payment,Payment,True,I can help with payment issues. Please share the payment method and order details so I can check why the transaction was rejected or delayed.,False,0.2,True,Rule-based keyword matching,TF-IDF + LinearSVC,,paraphrase,why my payment reject
Can I pay with PayPal instead?,Payment,Payment,True,I can help with payment issues. Please share the payment method and order details so I can check why the transaction was rejected or delayed.,False,0.2,True,Rule-based keyword matching,TF-IDF + LinearSVC,,paraphrase,pay paypal instead
I want to complain about the courier.,Complaint,Complaint,True,I am sorry to hear this and understand your frustration. Please share your order details so I can review the issue and escalate it properly.,False,0.2,True,Rule-based keyword matching,TF-IDF + LinearSVC,,paraphrase,want complain about courier
Your service has been absolutely terrible,Complaint,Complaint,True,I am sorry to hear this and understand your frustration. Please share your order details so I can review the issue and escalate it properly.,False,0.2,True,Rule-based keyword matching,TF-IDF + LinearSVC,,paraphrase,service absolutely terrible
What are your working hours?,General,General,True,"I can help with general logistics support. Please tell me what you need, such as office hours, support contact details, or delivery questions.",False,0.15,True,Rule-based keyword matching,TF-IDF + LinearSVC,,paraphrase,what work hour
How can I contact customer support?,General,General,True,"I can help with general logistics support. Please tell me what you need, such as office hours, support contact details, or delivery questions.",False,0.15,True,Rule-based keyword matching,TF-IDF + LinearSVC,,paraphrase,how contact customer support
Please speed up my delivery,expedite_delivery,expedite_delivery,True,"I can help speed up the delivery. Please share the tracking number, for example TRK1010.",False,0.96,False,,Rule-based NLP (keyword / regex / entity detection),,paraphrase,speed up my delivery
Can you make this delivery go faster?,expedite_delivery,expedite_delivery,True,"I can help speed up the delivery. Please share the tracking number, for example TRK1010.",False,0.96,False,,Rule-based NLP (keyword / regex / entity detection),,paraphrase,make delivery go faster
"I need this parcel urgently, please hurry",expedite_delivery,expedite_delivery,True,"I can help speed up the delivery. Please share the tracking number, for example TRK1010.",False,0.96,False,,Rule-based NLP (keyword / regex / entity detection),,paraphrase,need parcel urgently hurry
Status?,tracking_request,Tracking,False,"I can help you track the parcel. Please share the tracking number, for example TRK1010.",False,0.96,False,,Rule-based NLP (keyword / regex / entity detection),,short,status
Track TRK1001,tracking_request,Tracking,False,Parcel TRK1001 is currently in transit and heading to Kuala Lumpur. It is estimated to arrive on 26 August 2026.,False,1.0,False,,Rule-based NLP (keyword / regex / entity detection),,short,track trk1001
ETA?,estimated_delivery,Delivery,False,"What is your order tracking ID? Please share a tracking number like TRK1001 and I can look up the estimated delivery time for you. You can also include it directly, e.g. ""When will TRK1001 arrive?""",False,0.95,False,,Rule-based NLP (keyword / regex / entity detection),,short,eta
Refund?,Returns,Returns,True,I can guide you through the return process. Please share your order number and I will explain the available return or refund options.,False,0.2,True,Rule-based keyword matching,TF-IDF + LinearSVC,,short,refund
Hello I ordered a package last week on Tuesday and I was wondering if you could tell me where it is right now and if there have been any updates to the shipping status because I really need to receive it before the weekend starts thank you very much,tracking_request,Tracking,False,"I can help you track the parcel. Please share the tracking number, for example TRK1010.",False,0.96,False,,Rule-based NLP (keyword / regex / entity detection),,long,hello order package last week tuesday wonder tell where right now there any update ship status because really need receive before weekend start thank very much
I would like to know approximately when my package should arrive at my home address because I need to make sure someone will be available to sign for the delivery and collect it from the courier,estimated_delivery,Delivery,False,"What is your order tracking ID? Please share a tracking number like TRK1001 and I can look up the estimated delivery time for you. You can also include it directly, e.g. ""When will TRK1001 arrive?""",False,0.95,False,,Rule-based NLP (keyword / regex / entity detection),,long,like know approximately when my package arrive my home address because need make sure someone available sign delivery collect courier
Wher is my pakage??,tracking_request,Tracking,False,Thanks for contacting us. I can help track your parcel. Please share your tracking number so I can check the latest shipment status.,False,0.85,False,,TF-IDF + LinearSVC,,typo,wher my pakage
wen will mi parcel arriv?,estimated_delivery,Delivery,False,I can help review the delivery timeline for your parcel. Please share your tracking number so I can check the expected arrival date.,False,0.85,False,,TF-IDF + LinearSVC,,typo,wen mi parcel arriv
trck my ordr plz,tracking_request,Tracking,False,Thanks for contacting us. I can help track your parcel. Please share your tracking number so I can check the latest shipment status.,False,0.85,False,,TF-IDF + LinearSVC,,typo,trck my ordr plz
my paymnt was rejectd help,Payment,Payment,True,I can help with payment issues. Please share the payment method and order details so I can check why the transaction was rejected or delayed.,False,0.85,False,,TF-IDF + LinearSVC,,typo,my paymnt rejectd help
asdfgh,unknown,unknown_fallback,True,"I am here to help with logistics support. Please share your order number, tracking number, or a brief description of the issue. I remember you asked about these recent items: asdfgh.",False,0.066,True,Unknown / default template,TF-IDF + LinearSVC,,unclear,asdfgh
Can you teleport my homework to Mars?,Weird,Weird,True,"I cannot process impossible or fictional delivery requests, but I can still help with genuine logistics questions such as tracking, delivery, and parcel issues.",False,0.5933,True,Cosine Similarity,TF-IDF + LinearSVC,0.5933052687213853,unknown,teleport my homework mar
hello??,unknown,Typos,True,Thanks for the message. I understand you are asking about a shipment or parcel concern. Please share your tracking number or order details so I can help.,False,1.0,True,Cosine Similarity,TF-IDF + LinearSVC,1.0,unclear,hello
xyzzy plugh twist,unknown,unknown_fallback,True,"I did not catch that clearly. Please rephrase your question with your order details, tracking number, or parcel issue, and I will help. I remember you asked about these recent items: xyzzy plugh twist.",False,0.066,True,Unknown / default template,TF-IDF + LinearSVC,,unclear,xyzzy plugh twist
我的包裹在哪里？,tracking_request,Tracking,False,好的，我可以帮你查询包裹。请提供追踪号码，例如 TRK1010。,False,0.96,False,,Rule-based NLP (keyword / regex / entity detection),,chinese,我的包裹在哪里
我的包裹什么时候到？,estimated_delivery,Delivery,False,请问你的订单追踪号码是什么？请提供类似 TRK1001 这样的追踪号，我就可以帮你查询预计送达时间。 你也可以先告诉我追踪号码，例如：「TRK1001 几时到？」,False,0.95,False,,Rule-based NLP (keyword / regex / entity detection),,chinese,我的包裹什么时候到
