Intent,Question,ReplyIndex,Reply
Tracking,Where is my parcel?,1,Thanks for contacting us. I can help track your parcel. Please share your tracking number so I can check the latest shipment status.
Tracking,Where is my parcel?,2,I can look up the most recent tracking update for your shipment. Please send your tracking number or order reference and I will review the latest movement.
Tracking,Where is my parcel?,3,I can check the current shipment status for you. Please provide the tracking number and I will explain exactly where the parcel is right now.
Tracking,Where is my parcel?,4,Thanks for the message. I can help you understand the current parcel status and the next delivery milestone.
Tracking,Can you track my shipment?,1,Thanks for contacting us. I can help track your parcel. Please share your tracking number so I can check the latest shipment status.
Tracking,Can you track my shipment?,2,I can look up the most recent tracking update for your shipment. Please send your tracking number or order reference and I will review the latest movement.
Tracking,Can you track my shipment?,3,I can check the current shipment status for you. Please provide the tracking number and I will explain exactly where the parcel is right now.
Tracking,Can you track my shipment?,4,Thanks for the message. I can help you understand the current parcel status and the next delivery milestone.
Tracking,My tracking hasn't updated.,1,Thanks for contacting us. I can help track your parcel. Please share your tracking number so I can check the latest shipment status.
Tracking,My tracking hasn't updated.,2,I can look up the most recent tracking update for your shipment. Please send your tracking number or order reference and I will review the latest movement.
Tracking,My tracking hasn't updated.,3,I can check the current shipment status for you. Please provide the tracking number and I will explain exactly where the parcel is right now.
Tracking,My tracking hasn't updated.,4,Thanks for the message. I can help you understand the current parcel status and the next delivery milestone.
Tracking,Is my parcel still moving?,1,Thanks for contacting us. I can help track your parcel. Please share your tracking number so I can check the latest shipment status.
Tracking,Is my parcel still moving?,2,I can look up the most recent tracking update for your shipment. Please send your tracking number or order reference and I will review the latest movement.
Tracking,Is my parcel still moving?,3,I can check the current shipment status for you. Please provide the tracking number and I will explain exactly where the parcel is right now.
Tracking,Is my parcel still moving?,4,Thanks for the message. I can help you understand the current parcel status and the next delivery milestone.
Tracking,Why is my parcel stuck?,1,Thanks for contacting us. I can help track your parcel. Please share your tracking number so I can check the latest shipment status.
Tracking,Why is my parcel stuck?,2,I can look up the most recent tracking update for your shipment. Please send your tracking number or order reference and I will review the latest movement.
Tracking,Why is my parcel stuck?,3,I can check the current shipment status for you. Please provide the tracking number and I will explain exactly where the parcel is right now.
Tracking,Why is my parcel stuck?,4,Thanks for the message. I can help you understand the current parcel status and the next delivery milestone.
Tracking,What does 'In Transit' mean?,1,Thanks for contacting us. I can help track your parcel. Please share your tracking number so I can check the latest shipment status.
Tracking,What does 'In Transit' mean?,2,I can look up the most recent tracking update for your shipment. Please send your tracking number or order reference and I will review the latest movement.
Tracking,What does 'In Transit' mean?,3,I can check the current shipment status for you. Please provide the tracking number and I will explain exactly where the parcel is right now.
Tracking,What does 'In Transit' mean?,4,Thanks for the message. I can help you understand the current parcel status and the next delivery milestone.
Tracking,What does 'Out for Delivery' mean?,1,Thanks for contacting us. I can help track your parcel. Please share your tracking number so I can check the latest shipment status.
Tracking,What does 'Out for Delivery' mean?,2,I can look up the most recent tracking update for your shipment. Please send your tracking number or order reference and I will review the latest movement.
